tier,file,upstream,our_lines,line_overlap,id_overlap,aionui_notice
DERIVED-HIGH,src/renderer/utils/ui/focus.ts,src/renderer/utils/ui/focus.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/clipboard.ts,src/renderer/utils/ui/clipboard.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/createContext.tsx,src/renderer/utils/ui/createContext.tsx,19,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/ui/siderTooltip.ts,src/renderer/utils/ui/siderTooltip.ts,18,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/getLastAssistantText.ts,src/renderer/utils/chat/getLastAssistantText.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/skillSuggestParser.ts,src/renderer/utils/chat/skillSuggestParser.ts,38,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/chat/messageHistory.ts,src/renderer/utils/chat/messageHistory.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/fileType.ts,src/renderer/utils/file/fileType.ts,34,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/fileSelection.ts,src/renderer/utils/file/fileSelection.ts,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/file/base64.ts,src/renderer/utils/file/base64.ts,20,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelPlatforms.ts,src/renderer/utils/model/modelPlatforms.ts,84,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/presetAssistantResources.ts,src/renderer/utils/model/presetAssistantResources.ts,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/agentTypes.ts,src/renderer/utils/model/agentTypes.ts,9,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelFallback.ts,src/renderer/utils/model/modelFallback.ts,31,100.0,100.0,False
DERIVED-HIGH,src/renderer/utils/model/modelSource.ts,src/renderer/utils/model/modelSource.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/styles/colors.ts,src/renderer/styles/colors.ts,50,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/ShimmerText.tsx,src/renderer/components/ShimmerText.tsx,22,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/useSettingsModal.tsx,src/renderer/components/settings/SettingsModal/useSettingsModal.tsx,13,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/settingsViewContext.tsx,src/renderer/components/settings/SettingsModal/settingsViewContext.tsx,6,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/healthCheckUtils.ts,src/renderer/components/settings/SettingsModal/contents/healthCheckUtils.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/feedbackModules.ts,src/renderer/components/settings/SettingsModal/contents/feedbackModules.ts,36,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/ChannelItem.tsx,src/renderer/components/settings/SettingsModal/contents/channels/ChannelItem.tsx,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/ChannelHeader.tsx,src/renderer/components/settings/SettingsModal/contents/channels/ChannelHeader.tsx,42,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/settings/SettingsModal/contents/channels/types.ts,src/renderer/components/settings/SettingsModal/contents/channels/types.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/SlashCommandMenu.tsx,src/renderer/components/chat/SlashCommandMenu.tsx,46,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/ThoughtDisplay.tsx,src/renderer/components/chat/ThoughtDisplay.tsx,45,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/AtFileMenu/index.tsx,src/renderer/components/chat/AtFileMenu/index.tsx,20,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/chat/BtwOverlay/index.tsx,src/renderer/components/chat/BtwOverlay/index.tsx,75,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/Markdown/markdownUtils.ts,src/renderer/components/Markdown/markdownUtils.ts,13,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/AppLoader.tsx,src/renderer/components/layout/AppLoader.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/PwaPullToRefresh.tsx,src/renderer/components/layout/PwaPullToRefresh.tsx,49,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/FlexFullContainer.tsx,src/renderer/components/layout/FlexFullContainer.tsx,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/siderOrder.ts,src/renderer/components/layout/Sider/siderOrder.ts,43,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/useStoredSiderOrder.ts,src/renderer/components/layout/Sider/useStoredSiderOrder.ts,43,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/SortableSiderEntry.tsx,src/renderer/components/layout/Sider/SortableSiderEntry.tsx,13,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/layout/Sider/CronJobSiderSection/index.ts,src/renderer/components/layout/Sider/CronJobSiderSection/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/workspace/index.ts,src/renderer/components/workspace/index.ts,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/agent/MarqueePillLabel.tsx,src/renderer/components/agent/MarqueePillLabel.tsx,38,100.0,100.0,False
DERIVED-HIGH,src/renderer/components/media/UploadProgressBar.tsx,src/renderer/components/media/UploadProgressBar.tsx,16,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/assistant/useDetectedAgents.ts,src/renderer/hooks/assistant/useDetectedAgents.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useFontScale.ts,src/renderer/hooks/ui/useFontScale.ts,32,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useIndexedItemRefs.ts,src/renderer/hooks/ui/useIndexedItemRefs.ts,7,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useThrottle.ts,src/renderer/hooks/ui/useThrottle.ts,17,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useDebounce.ts,src/renderer/hooks/ui/useDebounce.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/ui/useConversationShortcuts.ts,src/renderer/hooks/ui/useConversationShortcuts.ts,34,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/chat/useSendBoxFiles.ts,src/renderer/hooks/chat/useSendBoxFiles.ts,35,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/chat/useCompositionInput.ts,src/renderer/hooks/chat/useCompositionInput.ts,16,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/useUploadState.ts,src/renderer/hooks/file/useUploadState.ts,36,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/usePreviewLauncher.ts,src/renderer/hooks/file/usePreviewLauncher.ts,53,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/usePasteService.ts,src/renderer/hooks/file/usePasteService.ts,28,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/file/useOpenFileSelector.ts,src/renderer/hooks/file/useOpenFileSelector.ts,15,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/agent/useHubAgents.ts,src/renderer/hooks/agent/useHubAgents.ts,33,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/agent/useModeModeList.ts,src/renderer/hooks/agent/useModeModeList.ts,39,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/agent/useGeminiGoogleAuthModels.ts,src/renderer/hooks/agent/useGeminiGoogleAuthModels.ts,27,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/useAutoPreviewOfficeFilesEnabled.ts,src/renderer/hooks/system/useAutoPreviewOfficeFilesEnabled.ts,12,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/useExtI18n.ts,src/renderer/hooks/system/useExtI18n.ts,30,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/usePwaMode.ts,src/renderer/hooks/system/usePwaMode.ts,8,100.0,100.0,False
DERIVED-HIGH,src/renderer/hooks/system/useNotificationClick.ts,src/renderer/hooks/system/useNotificationClick.ts,14,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/settings/SystemSettings.tsx,src/renderer/pages/settings/SystemSettings.tsx,11,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/settings/AgentSettings/RemoteAgents.tsx,src/renderer/pages/settings/AgentSettings/RemoteAgents.tsx,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/settings/DisplaySettings/index.tsx,src/renderer/pages/settings/DisplaySettings/index.tsx,5,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/team/components/AgentStatusBadge.tsx,src/renderer/pages/team/components/AgentStatusBadge.tsx,13,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/index.tsx,src/renderer/pages/guid/index.tsx,1,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/types.ts,src/renderer/pages/guid/types.ts,10,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/constants.ts,src/renderer/pages/guid/constants.ts,3,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/utils/modelUtils.ts,src/renderer/pages/guid/utils/modelUtils.ts,18,100.0,100.0,False
DERIVED-HIGH,src/renderer/pages/guid/components/GuidSkeleton.tsx,src/renderer/pages/guid/components/GuidSkeleton.tsx,14,100.0,100.0,False
